DATE,CPALCY01CAM661N
2010-01-01,91.2791085607526
2010-02-01,91.4392473477014
2010-03-01,91.6794555281244
2010-04-01,91.9196637085474
2010-05-01,91.9997331020218
2010-06-01,91.9196637085474
2010-07-01,91.6794555281244
2010-08-01,91.6794555281244
2010-09-01,91.9196637085474
2010-10-01,92.3200106759191
2010-11-01,92.5602188563422
2010-12-01,92.7203576432908
2011-01-01,93.1207046106626
2011-02-01,93.2808433976113
2011-03-01,94.5619536932008
2011-04-01,94.7220924801495
2011-05-01,94.9623006605725
2011-06-01,94.4018149062521
2011-07-01,94.4818842997264
2011-08-01,94.6420230866751
2011-09-01,94.8021618736238
2011-10-01,95.1224394475212
2011-11-01,95.2825782344699
2011-12-01,94.8021618736238
2012-01-01,95.6028558083672
2012-02-01,96.0832721692133
2012-03-01,96.4035497431107
2012-04-01,96.8038967104824
2012-05-01,96.6437579235337
2012-06-01,96.243410956162
2012-07-01,96.243410956162
2012-08-01,96.483619136585
2012-09-01,96.483619136585
2012-10-01,96.8038967104824
2012-11-01,96.7238273170081
2012-12-01,96.1633415626876
2013-01-01,96.1633415626876
2013-02-01,97.4444518582772
2013-03-01,97.2042436778542
2013-04-01,97.2042436778542
2013-05-01,97.3643824648028
2013-06-01,97.2042436778542
2013-07-01,97.2843130713285
2013-08-01,97.2843130713285
2013-09-01,97.2843130713285
2013-10-01,97.2042436778542
2013-11-01,97.3643824648028
2013-12-01,97.0441048909054
2014-01-01,97.2843130713285
2014-02-01,97.9248682191232
2014-03-01,98.1650763995463
2014-04-01,98.6454927603924
2014-05-01,98.8857009408154
2014-06-01,98.9657703342897
2014-07-01,98.8857009408154
2014-08-01,99.0458397277641
2014-09-01,99.1259091212384
2014-10-01,99.3661173016614
2014-11-01,99.1259091212384
2014-12-01,98.4052845799693
2015-01-01,98.4052845799693
2015-02-01,99.3661173016614
2015-03-01,99.9266030559819
2015-04-01,100.006672449456
2015-05-01,100.407019416828
2015-06-01,100.326950023354
2015-07-01,100.326950023354
2015-08-01,100.326950023354
2015-09-01,100.326950023354
2015-10-01,100.567158203777
2015-11-01,100.166811236405
2015-12-01,99.8465336625075
2016-01-01,99.9266030559819
2016-02-01,100.407019416828
2016-03-01,100.727296990725
2016-04-01,101.047574564623
2016-05-01,101.36785213852
2016-06-01,101.047574564623
2016-07-01,100.8073663842
2016-08-01,100.727296990725
2016-09-01,101.207713351571
2016-10-01,101.127643958097
2016-11-01,100.8073663842
2016-12-01,100.487088810302
2017-01-01,101.047574564623
2017-02-01,101.447921531994
2017-03-01,101.688129712417
2017-04-01,102.008407286315
2017-05-01,102.168546073263
2017-06-01,101.848268499366
2017-07-01,101.92833789284
2017-08-01,102.008407286315
2017-09-01,102.168546073263
2017-10-01,102.248615466738
2017-11-01,102.568893040635
2017-12-01,102.408754253687
2018-01-01,102.64896243411
2018-02-01,103.20944818843
2018-03-01,103.369586975379
2018-04-01,103.609795155802
2018-05-01,103.76993394275
2018-06-01,103.689864549276
2018-07-01,104.170280910122
2018-08-01,104.090211516648
2018-09-01,104.010142123173
2018-10-01,104.090211516648
2018-11-01,103.689864549276
2018-12-01,103.850003336225
2019-01-01,103.930072729699
2019-02-01,104.810836057917
2019-03-01,105.371321812237
2019-04-01,105.61152999266
2019-05-01,106.332154533929
2019-06-01,106.011876960032
2019-07-01,106.652432107827
2019-08-01,106.652432107827
2019-09-01,106.652432107827
2019-10-01,106.89264028825
2019-11-01,106.732501501301
2019-12-01,106.732501501301
2020-01-01,106.732501501301
2020-02-01,107.212917862147
2020-03-01,106.89264028825
2020-04-01,106.412223927404
2020-05-01,106.332154533929
2020-06-01,106.972709681724
2020-07-01,106.972709681724
2020-08-01,107.052779075198
2020-09-01,106.812570894775
2020-10-01,107.533195436045
2020-11-01,107.853473009942
2020-12-01,107.773403616468
2021-01-01,108.333889370788
2021-02-01,108.974444518583
2021-03-01,108.974444518583
2021-04-01,109.534930272903
2021-05-01,110.735971175018
2021-06-01,111.056248748916
2021-07-01,111.456595716287
2021-08-01,111.776873290185
2021-09-01,112.257289651031
2021-10-01,112.9779141923
2021-11-01,113.218122372723
2021-12-01,113.138052979249
2022-01-01,113.778608127043
2022-02-01,114.81951024221
2022-03-01,116.100620537799
2022-04-01,116.901314472543
2022-05-01,118.422632948555
2022-06-01,119.543604457196
2022-07-01,119.543604457196
2022-08-01,119.783812637619
2022-09-01,119.863882031094
2022-10-01,120.584506572363
2022-11-01,121.225061720157
2022-12-01,120.744645359311
